,iou,detect
TCGA_HT_7881_19981015_1.tif,100,All_TN
TCGA_HT_7881_19981015_10.tif,100,All_TN
TCGA_HT_7881_19981015_11.tif,100,All_TN
TCGA_HT_7881_19981015_12.tif,100,All_TN
TCGA_HT_7881_19981015_13.tif,100,All_TN
TCGA_HT_7881_19981015_14.tif,100,All_TN
TCGA_HT_7881_19981015_15.tif,100,All_TN
TCGA_HT_7881_19981015_16.tif,100,All_TN
TCGA_HT_7881_19981015_17.tif,100,All_TN
TCGA_HT_7881_19981015_18.tif,100,All_TN
TCGA_HT_7881_19981015_19.tif,100,All_TN
TCGA_HT_7881_19981015_2.tif,100,All_TN
TCGA_HT_7881_19981015_20.tif,100,All_TN
TCGA_HT_7881_19981015_21.tif,100,All_TN
TCGA_HT_7881_19981015_22.tif,100,All_TN
TCGA_HT_7881_19981015_23.tif,11.452031114952463,Detect
TCGA_HT_7881_19981015_24.tif,34.80565371024735,Detect
TCGA_HT_7881_19981015_25.tif,67.34434561626429,Detect
TCGA_HT_7881_19981015_26.tif,79.00128040973111,Detect
TCGA_HT_7881_19981015_27.tif,83.8477366255144,Detect
TCGA_HT_7881_19981015_28.tif,83.80281690140845,Detect
TCGA_HT_7881_19981015_29.tif,89.03394255874673,Detect
TCGA_HT_7881_19981015_3.tif,100,All_TN
TCGA_HT_7881_19981015_30.tif,66.02914389799636,Detect
TCGA_HT_7881_19981015_31.tif,87.71220695230396,Detect
TCGA_HT_7881_19981015_32.tif,60.0,Detect
TCGA_HT_7881_19981015_33.tif,0.0,No_detect
TCGA_HT_7881_19981015_34.tif,80.87349397590361,Detect
TCGA_HT_7881_19981015_35.tif,0.0,No_detect
TCGA_HT_7881_19981015_36.tif,66.99751861042184,Detect
TCGA_HT_7881_19981015_37.tif,58.68945868945868,Detect
TCGA_HT_7881_19981015_38.tif,0.0,NoMis_detect
TCGA_HT_7881_19981015_39.tif,0.0,NoMis_detect
TCGA_HT_7881_19981015_4.tif,100,All_TN
TCGA_HT_7881_19981015_40.tif,100,All_TN
TCGA_HT_7881_19981015_41.tif,100,All_TN
TCGA_HT_7881_19981015_42.tif,100,All_TN
TCGA_HT_7881_19981015_43.tif,100,All_TN
TCGA_HT_7881_19981015_44.tif,100,All_TN
TCGA_HT_7881_19981015_45.tif,100,All_TN
TCGA_HT_7881_19981015_46.tif,100,All_TN
TCGA_HT_7881_19981015_47.tif,100,All_TN
TCGA_HT_7881_19981015_48.tif,100,All_TN
TCGA_HT_7881_19981015_49.tif,100,All_TN
TCGA_HT_7881_19981015_5.tif,100,All_TN
TCGA_HT_7881_19981015_50.tif,100,All_TN
TCGA_HT_7881_19981015_51.tif,100,All_TN
TCGA_HT_7881_19981015_52.tif,100,All_TN
TCGA_HT_7881_19981015_53.tif,100,All_TN
TCGA_HT_7881_19981015_54.tif,100,All_TN
TCGA_HT_7881_19981015_55.tif,100,All_TN
TCGA_HT_7881_19981015_56.tif,100,All_TN
TCGA_HT_7881_19981015_57.tif,100,All_TN
TCGA_HT_7881_19981015_58.tif,100,All_TN
TCGA_HT_7881_19981015_59.tif,100,All_TN
TCGA_HT_7881_19981015_6.tif,100,All_TN
TCGA_HT_7881_19981015_60.tif,100,All_TN
TCGA_HT_7881_19981015_61.tif,100,All_TN
TCGA_HT_7881_19981015_62.tif,100,All_TN
TCGA_HT_7881_19981015_63.tif,100,All_TN
TCGA_HT_7881_19981015_64.tif,100,All_TN
TCGA_HT_7881_19981015_65.tif,100,All_TN
